                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.2917,                 4.8766,                 4.2474,                  8e-05,                0.02222,                  5e-05,                  1e-05,                 5.4788,                  5.626,                 4.1999,             0.00046877,             0.00046877,             0.00046877
                      2,                 5.0461,                   4.28,                 3.9715,                  8e-05,                0.02222,                  5e-05,                  1e-05,                 5.2181,                 6.1244,                 4.1965,             0.00094199,             0.00094199,             0.00094199
                      3,                 4.7883,                 3.8684,                 3.6756,                0.35297,                0.00569,                0.00214,                0.00046,                 5.2941,                 5.1493,                 3.9513,              0.0014121,              0.0014121,              0.0014121
                      4,                 4.3856,                 3.4081,                 3.4515,                0.00995,                0.05838,                0.00553,                0.00133,                 4.2331,                 5.6632,                 3.5025,              0.0014149,              0.0014149,              0.0014149
                      5,                  4.145,                 3.2796,                 3.3135,                0.01174,                0.05937,                0.00675,                0.00189,                   4.24,                 7.6561,                 3.8157,              0.0014149,              0.0014149,              0.0014149
                      6,                 4.0008,                 3.1133,                  3.077,                0.01388,                0.06077,                0.00623,                0.00147,                 4.4096,                  11.17,                 4.1069,              0.0014101,              0.0014101,              0.0014101
                      7,                 3.8937,                 2.8747,                 2.9281,                0.01292,                0.13905,                0.01021,                0.00331,                 3.8367,                  3.164,                 2.7607,              0.0014054,              0.0014054,              0.0014054
                      8,                 3.7383,                 2.7654,                 2.7403,                0.02471,                0.12483,                0.01427,                  0.004,                 3.9235,                 6.2994,                 2.6625,              0.0014007,              0.0014007,              0.0014007
                      9,                 3.7565,                 2.7141,                 2.5044,                0.00736,                0.30849,                0.04055,                0.00813,                 4.5714,                 3.4997,                 2.9104,               0.001396,               0.001396,               0.001396
                     10,                 3.6233,                 2.6557,                 2.4761,                0.11752,                0.09891,                0.06059,                0.01901,                 3.7844,                 2.7353,                 2.4584,              0.0013913,              0.0013913,              0.0013913
                     11,                 3.5434,                 2.5353,                 2.3098,                0.74525,                0.13384,                 0.1275,                0.04014,                 3.3894,                 2.5455,                 2.2788,              0.0013866,              0.0013866,              0.0013866
                     12,                 3.3678,                 2.4213,                 2.2565,                0.21757,                0.19401,                0.13807,                0.04404,                 3.3691,                 2.4278,                 2.2576,              0.0013818,              0.0013818,              0.0013818
                     13,                 3.2626,                 2.3621,                 2.1349,                0.20417,                0.26384,                0.15958,                0.05869,                 3.0532,                 2.2118,                 2.0335,              0.0013771,              0.0013771,              0.0013771
                     14,                 3.2198,                 2.2513,                 2.1312,                0.18436,                0.32069,                0.16919,                0.06452,                 3.0763,                 2.2885,                 1.9795,              0.0013724,              0.0013724,              0.0013724
                     15,                 3.1079,                 2.1908,                 2.0282,                0.34353,                0.30989,                 0.2327,                 0.0911,                 3.1633,                  2.116,                 2.0038,              0.0013677,              0.0013677,              0.0013677
                     16,                 3.0527,                 2.1275,                 2.0413,                0.32895,                0.31197,                0.27592,                0.10429,                 2.8394,                 1.9587,                 1.8292,               0.001363,               0.001363,               0.001363
                     17,                 2.9681,                  2.085,                 1.8749,                0.40379,                 0.2645,                0.24615,                0.10689,                 2.7559,                 1.8591,                 1.8037,              0.0013583,              0.0013583,              0.0013583
                     18,                 2.8764,                 2.0003,                 1.8655,                 0.3779,                0.32087,                0.29368,                0.11572,                 2.9085,                 1.8419,                 1.8011,              0.0013535,              0.0013535,              0.0013535
                     19,                 2.7843,                 1.8981,                 1.8162,                0.32859,                0.34355,                0.30856,                0.13379,                 2.5561,                 1.7993,                 1.6375,              0.0013488,              0.0013488,              0.0013488
                     20,                 2.6916,                 1.8666,                 1.7285,                0.45477,                0.38511,                0.34716,                0.15283,                 2.5905,                 1.6761,                 1.6629,              0.0013441,              0.0013441,              0.0013441
                     21,                 2.6646,                 1.8051,                  1.724,                0.41611,                0.37452,                0.34233,                0.15907,                 2.5539,                 1.6852,                 1.6505,              0.0013394,              0.0013394,              0.0013394
                     22,                 2.6667,                 1.8186,                 1.7039,                0.45589,                0.34144,                0.34789,                0.17229,                  2.444,                 1.6483,                 1.5852,              0.0013347,              0.0013347,              0.0013347
                     23,                 2.5561,                 1.7354,                 1.6652,                0.49092,                0.39604,                0.36966,                0.16445,                  2.427,                  1.662,                 1.5912,                0.00133,                0.00133,                0.00133
                     24,                 2.4824,                 1.7136,                 1.6464,                 0.4498,                0.37624,                0.36332,                0.16711,                 2.3667,                 1.5666,                 1.5131,              0.0013253,              0.0013253,              0.0013253
                     25,                 2.5598,                 1.6905,                 1.6587,                0.56634,                0.35362,                0.41469,                 0.2052,                 2.3554,                 1.5263,                 1.4892,              0.0013205,              0.0013205,              0.0013205
                     26,                 2.4438,                 1.6715,                 1.6115,                 0.5188,                 0.3766,                0.43162,                0.21172,                 2.2448,                 1.4992,                 1.4887,              0.0013158,              0.0013158,              0.0013158
                     27,                 2.4225,                 1.6676,                 1.6093,                0.47466,                0.41755,                0.44625,                0.22648,                 2.2457,                 1.4802,                 1.4725,              0.0013111,              0.0013111,              0.0013111
                     28,                 2.3682,                   1.59,                 1.5708,                0.64908,                0.39562,                0.47568,                0.24373,                 2.1984,                 1.5043,                 1.4292,              0.0013064,              0.0013064,              0.0013064
